"country","date","year","type","actor1","actor2","region","location","lat","lng","source","source_scale","notes","incident_fatalities","region_fatalities","freq"
"Algeria","2018-05-21",2018,"Violence against civilians","Unidentified Armed Group (Algeria)","Civilians (Algeria)","Northern Africa","Oued Sebaa",34.5551,-0.8235,"El Watan","National","In the week of 21 May, two older Imams were found beheaded in Oued Shbaa, 70km South-East of Sidi Bel Abbes. The motive for the execution is not clear - potentially Islamist radicalism.",2,1953,31
"Algeria","2018-05-31",2018,"Battle-No change of territory","Military Forces of Algeria (1999-)","AQIM: Al Qaeda in the Islamic Maghreb","Northern Africa","Oued Bou Ferhat",36.0112,2.6838,"Xinhua News","International","On 31 May, Algerian military forces shot dead an AQIM militant in Oued Bouferhat in the commune of Ouled Antar in Medea governorate.",1,1953,31
"Algeria","2018-06-09",2018,"Violence against civilians","Polisario Front","Civilians (Algeria)","Northern Africa","Tindouf",27.6711,-8.1474,"Morocco World News","Regional","On the week of 9 June, a political activist and member of the Yagout tribe was allegedly killed by Polisario party cadres in Dheibya prison near Tindouf. Other sources say that the man committed suicide.",1,1953,31
"Algeria","2018-01-15",2018,"Violence against civilians","Police Forces of Algeria (1999-)","Civilians (International)","Northern Africa","Tamanrasset",22.785,5.5228,"AP International","International","On 25 June 2018, Associated Press published a story which says that in the last 14 months around 13000 sub-saharan african migrants were brought to the middle of the desert where Algerian police showed them the way to Niger. Two migrants told AP that gendarmes fired on groups to force them to walk. There are reports of several deaths. 14 VAC events coded with 10 fatalities spread across the events.",1,1953,31
"Algeria","2018-05-29",2018,"Battle-No change of territory","Military Forces of Algeria (1999-)","AQIM: Al Qaeda in the Islamic Maghreb","Northern Africa","Hammam Righa",36.3797,2.2989,"Xinhua News","International","On 29 May, Algerian military forces shot dead a militant in Hammam Righa on the provincial border between Ain Defla or Tipaza. Difficult to say whether AQIM or ISIS but signs point to AQIM.",1,1953,31
"Algeria","2018-02-19",2018,"Remote violence","AQIM: Al Qaeda in the Islamic Maghreb","Military Forces of Algeria (1999-)","Northern Africa","Chechar",35.0381,7.0042,"Menastream, Xinhua News","Other-international","Two Algerian soldiers were killed and one was wounded following the explosion of a roadside bomb in Chechar. The area is an area of operations of AQIM.",2,1953,31
"Algeria","2018-02-16",2018,"Battle-No change of territory","Military Forces of Algeria (1999-)","Soldiers of the Caliphate","Northern Africa","Oued Zhour",36.923,6.3127,"Menastream","Subnational","ANP ambushed and killed a militant (probably an ISIS/Jund al-Khilafah member) in the area of Tarsat, Jijel not far from Oued Zhour and the provincial border with Skikda.",1,1953,31
"Algeria","2018-04-02",2018,"Battle-No change of territory","Military Forces of Algeria (1999-)","Unidentified Armed Group (Algeria)","Northern Africa","Ain Kechra",36.7483,6.4323,"Menastream, Xinhua news","Other-International","On 2 April, Algerian military forces killed a militant in Boudoukha, west of Ain Kechra, Skikda province. Three days later on 5 April, they destroyed a militant hideout in Skikda containing 6 bombs. There was no report of fighting.",1,1953,31
"Algeria","2018-02-15",2018,"Violence against civilians","Police Forces of Algeria (1999-)","Civilians (International)","Northern Africa","Tamanrasset",22.785,5.5228,"AP International","International","On 25 June 2018, Associated Press published a story which says that in the last 14 months around 13000 sub-saharan african migrants were brought to the middle of the desert where Algerian police showed them the way to Niger. Two migrants told AP that gendarmes fired on groups to force them to walk. There are reports of several deaths. 14 VAC events coded with 10 fatalities spread across the events.",1,1953,31
"Algeria","2018-01-30",2018,"Battle-No change of territory","Military Forces of Algeria (1999-)","AQIM: Al Qaeda in the Islamic Maghreb","Northern Africa","Mechta Mahcene",36.7753,6.0597,"Menastream","Other-subnational","ANP ambushed and killed two AQIM militants in the heights of Mechtat Mohcine, southeast of Jijel. The victims were responsible for AQIMs al-Andalus media and his associate.",2,1953,31
